experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,44,43,WHITE,BLACK,win,WHITE,21,15,6,32,0,11.9955002,11.9863852,0.0032594,16,16,0.749149075,0.000203712,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,45,44,BLACK,WHITE,win,BLACK,30,6,24,33,1,13.0972383,13.0891278,0.0028467,17,16,0.769948694,0.000177919,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,46,45,WHITE,BLACK,win,WHITE,28,8,20,33,1,12.2396946,12.2307784,0.0031665,16,17,0.76442365,0.000186265,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,47,46,BLACK,WHITE,win,BLACK,26,10,16,34,2,13.4079339,13.3994201,0.0029908,17,17,0.788201182,0.000175929,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,48,47,WHITE,BLACK,loss,BLACK,6,29,-23,33,2,12.1526184,12.1432104,0.0036311,16,17,0.75895065,0.000213594,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,49,48,BLACK,WHITE,win,BLACK,23,13,10,32,0,13.2028992,13.1944355,0.0029967,16,16,0.824652219,0.000187294,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,50,49,WHITE,BLACK,win,WHITE,29,7,22,32,0,11.8350155,11.8268915,0.0029944,16,16,0.739180719,0.00018715,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,51,50,BLACK,WHITE,win,BLACK,26,10,16,35,3,13.4504959,13.4417813,0.0029019,18,17,0.746765628,0.0001707,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,52,51,WHITE,BLACK,win,WHITE,22,14,8,32,0,11.9723475,11.964009,0.0030581,16,16,0.747750562,0.000191131,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,53,52,BLACK,WHITE,loss,WHITE,15,21,-6,33,1,13.0775493,13.0690712,0.0029294,17,16,0.768768894,0.000183087,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,54,53,WHITE,BLACK,win,WHITE,36,0,36,36,4,12.6575296,12.6481649,0.0032799,18,18,0.702675828,0.000182217,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,55,54,BLACK,WHITE,win,BLACK,22,14,8,33,1,13.4617948,13.4531124,0.0029958,17,16,0.791359553,0.000187238,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,56,55,WHITE,BLACK,win,WHITE,35,0,35,34,3,13.5712526,13.561647,0.0035435,17,17,0.797743941,0.000208441,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,57,56,BLACK,WHITE,loss,WHITE,5,31,-26,34,2,13.7693105,13.7598439,0.0031255,17,17,0.809402582,0.000183853,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,58,57,WHITE,BLACK,loss,BLACK,12,24,-12,32,0,13.0115617,13.0023257,0.0032823,16,16,0.812645356,0.000205144,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,59,58,BLACK,WHITE,win,BLACK,24,12,12,33,1,15.6036501,15.5938382,0.0033393,17,16,0.9172846,0.000208706,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,60,59,WHITE,BLACK,win,WHITE,19,17,2,32,0,12.4423542,12.4343117,0.0028876,16,16,0.777144481,0.000180475,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,61,60,BLACK,WHITE,loss,WHITE,11,25,-14,34,2,13.0463895,13.0346788,0.0063034,17,17,0.766745812,0.000370788,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,62,61,WHITE,BLACK,win,WHITE,19,17,2,33,1,11.7217901,11.7135879,0.0029549,16,17,0.732099244,0.000173818,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,63,62,BLACK,WHITE,loss,WHITE,15,21,-6,32,0,13.2234669,13.2153054,0.0028455,16,16,0.825956588,0.000177844,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,64,63,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.8837598,11.8754962,0.0030192,16,16,0.742218512,0.0001887,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,65,64,BLACK,WHITE,win,BLACK,19,17,2,33,1,13.2472217,13.2387811,0.0029297,17,16,0.778751829,0.000183106,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,66,65,WHITE,BLACK,win,WHITE,33,3,30,32,0,11.7710346,11.7622162,0.0031623,16,16,0.735138512,0.000197644,6,6,400,0.0
