experiment_name,game,pair,thompson_colour,uct_colour,outcome,winner_colour,thompson_discs,uct_discs,disc_difference,actions,passes,match_runtime_seconds,thompson_search_seconds,uct_search_seconds,thompson_decisions,uct_decisions,thompson_seconds_per_decision,uct_seconds_per_decision,thompson_seed,uct_seed,board_rows,board_cols,simulations,thompson_alpha_prior,thompson_beta_prior,uct_exploration_constant,uct_progressive_bias_weight,rollout_epsilon,expansion_epsilon,rollout_depth_limit,guided_expansion,heuristic_rollouts,root_safety,root_lookahead,heuristic_cutoff
11_enhanced_thompson_vs_enhanced_uct,85,43,BLACK,WHITE,THOMPSON_WIN,BLACK,19,17,2,32,0,93.2526031,48.0187573,45.2220221,16,16,3.001172331,2.826376381,100084,100085,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,86,43,WHITE,BLACK,THOMPSON_WIN,WHITE,30,4,26,32,2,95.225371,46.4723507,48.7400469,16,16,2.904521919,3.046252931,100085,100084,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,87,44,BLACK,WHITE,THOMPSON_WIN,BLACK,22,14,8,32,0,96.1381741,49.9117883,46.2150606,16,16,3.119486769,2.888441287,100086,100087,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,88,44,WHITE,BLACK,THOMPSON_WIN,WHITE,22,14,8,32,0,93.344847,45.0703243,48.2614151,16,16,2.816895269,3.016338444,100087,100086,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,89,45,BLACK,WHITE,UCT_WIN,WHITE,17,19,-2,32,0,99.7368644,50.6654511,49.0581535,16,16,3.166590694,3.066134594,100088,100089,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,90,45,WHITE,BLACK,THOMPSON_WIN,WHITE,21,15,6,32,0,105.6833398,50.2463439,55.4240576,16,16,3.140396494,3.4640036,100089,100088,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,91,46,BLACK,WHITE,UCT_WIN,WHITE,13,23,-10,32,0,82.7819408,45.5441627,37.2265814,16,16,2.846510169,2.326661337,100090,100091,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,92,46,WHITE,BLACK,UCT_WIN,BLACK,7,29,-22,33,1,93.3653816,44.1186816,49.2341853,16,17,2.7574176,2.896128547,100091,100090,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,93,47,BLACK,WHITE,THOMPSON_WIN,BLACK,23,12,11,31,0,93.3776424,49.3947404,43.970807,16,15,3.087171275,2.931387133,100092,100093,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,94,47,WHITE,BLACK,DRAW,DRAW,18,18,0,32,0,101.4651262,48.6756603,52.7760731,16,16,3.042228769,3.298504569,100093,100092,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,95,48,BLACK,WHITE,THOMPSON_WIN,BLACK,29,7,22,33,1,102.9518292,54.7264876,48.2115325,17,16,3.219205153,3.013220781,100094,100095,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,96,48,WHITE,BLACK,DRAW,DRAW,18,18,0,32,0,79.9579497,39.2996242,40.6477376,16,16,2.456226513,2.5404836,100095,100094,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,97,49,BLACK,WHITE,DRAW,DRAW,18,18,0,32,0,104.7189518,55.7080323,48.9965056,16,16,3.481752019,3.0622816,100096,100097,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,98,49,WHITE,BLACK,UCT_WIN,BLACK,15,21,-6,32,0,102.1497905,48.9561837,53.1795946,16,16,3.059761481,3.323724662,100097,100096,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,99,50,BLACK,WHITE,UCT_WIN,WHITE,14,22,-8,32,0,100.8970551,51.928585,48.9552424,16,16,3.245536562,3.05970265,100098,100099,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
11_enhanced_thompson_vs_enhanced_uct,100,50,WHITE,BLACK,THOMPSON_WIN,WHITE,19,17,2,33,1,94.6964208,45.2534172,49.4294339,16,17,2.828338575,2.907613759,100099,100098,6,6,200,2.0,1.0,0.5,0.0,0.15,0.05,16,True,True,True,True,True
