game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
73	72	ok	X	O	O	loss	8	30.812756	3.851594	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
74	73	ok	O	X	O	win	16	34.693181	2.168324	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
75	74	ok	X	O	O	loss	12	41.394711	3.449559	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
76	75	ok	O	X	O	win	12	27.886655	2.323888	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
77	76	ok	X	O	O	loss	8	30.826669	3.853334	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
78	77	ok	O	X	O	win	16	36.161388	2.260087	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
79	78	ok	X	O	X	win	11	38.273940	3.479449	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
80	79	ok	O	X	O	win	12	61.320926	5.110077	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
81	80	ok	X	O	X	win	13	100.366493	7.720499	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
82	81	ok	O	X	O	win	16	73.152422	4.572026	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
83	82	ok	X	O	X	win	13	101.543894	7.811069	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
84	83	ok	O	X	O	win	16	81.976550	5.123534	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
85	84	ok	X	O	X	win	13	40.734030	3.133387	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
86	85	ok	O	X	X	loss	7	17.339922	2.477132	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
87	86	ok	X	O	O	loss	14	39.396182	2.814013	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
88	87	ok	O	X	O	win	12	25.715008	2.142917	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
89	88	ok	X	O	X	win	11	35.763337	3.251212	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
90	89	ok	O	X	O	win	22	44.607286	2.027604	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
91	90	ok	X	O	O	loss	8	29.203181	3.650398	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
92	91	ok	O	X	O	win	14	29.927947	2.137710	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
93	92	ok	X	O	O	loss	8	29.336309	3.667039	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
94	93	ok	O	X	O	win	16	39.359591	2.459974	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
95	94	ok	X	O	X	win	13	42.437572	3.264429	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
96	95	ok	O	X	O	win	18	36.922078	2.051227	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
97	96	ok	X	O	O	loss	8	32.953432	4.119179	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
98	97	ok	O	X	X	loss	7	19.850223	2.835746	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
99	98	ok	X	O	X	win	13	45.790346	3.522334	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
100	99	ok	O	X	X	loss	7	18.408337	2.629762	ProgressiveBiasUCTSelectionPolicy	TacticalAgent	True	True	
