game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
80	79	ok	O	X	O	win	14	26.227516	1.873394	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
81	80	ok	X	O	X	win	13	32.754112	2.519547	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
82	81	ok	O	X	O	win	12	23.987627	1.998969	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
83	82	ok	X	O	X	win	11	28.139758	2.558160	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
84	83	ok	O	X	O	win	14	27.517319	1.965523	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
85	84	ok	X	O	X	win	13	40.082696	3.083284	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
86	85	ok	O	X	O	win	14	30.661557	2.190111	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
87	86	ok	X	O	X	win	13	33.111647	2.547050	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
88	87	ok	O	X	O	win	14	29.748000	2.124857	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
89	88	ok	X	O	X	win	17	38.800802	2.282400	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
90	89	ok	O	X	O	win	14	29.117722	2.079837	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
91	90	ok	X	O	X	win	13	34.657778	2.665983	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
92	91	ok	O	X	X	loss	17	37.186051	2.187415	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
93	92	ok	X	O	X	win	17	38.461601	2.262447	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
94	93	ok	O	X	O	win	16	30.697795	1.918612	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
95	94	ok	X	O	X	win	21	44.374389	2.113066	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
96	95	ok	O	X	O	win	14	29.414977	2.101070	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
97	96	ok	X	O	X	win	13	34.825145	2.678857	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
98	97	ok	O	X	O	win	16	31.610818	1.975676	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
99	98	ok	X	O	X	win	13	34.444093	2.649546	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
100	99	ok	O	X	O	win	14	28.660430	2.047174	ThompsonSamplingSelectionPolicy	TacticalAgent	True	True	
