game_index	seed	status	tested_agent_side	opponent_side	winner	outcome_for_tested_agent	moves_played	runtime_seconds	seconds_per_move	tested_agent_selection_policy	tested_agent_rollout_policy	tested_agent_use_tactical_guard	tested_agent_use_heuristic_expansion	error_message
87	86	ok	X	O	O	loss	14	6.081119	0.434366	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
88	87	ok	O	X	X	loss	7	2.846831	0.406690	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
89	88	ok	X	O	O	loss	10	4.590194	0.459019	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
90	89	ok	O	X	X	loss	7	2.830379	0.404340	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
91	90	ok	X	O	O	loss	8	3.729258	0.466157	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
92	91	ok	O	X	X	loss	7	2.785447	0.397921	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
93	92	ok	X	O	O	loss	20	8.235747	0.411787	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
94	93	ok	O	X	X	loss	7	2.821124	0.403018	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
95	94	ok	X	O	O	loss	8	3.779442	0.472430	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
96	95	ok	O	X	X	loss	7	2.838296	0.405471	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
97	96	ok	X	O	O	loss	8	3.756971	0.469621	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
98	97	ok	O	X	X	loss	7	2.772670	0.396096	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
99	98	ok	X	O	O	loss	12	5.419570	0.451631	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
100	99	ok	O	X	X	loss	7	2.812746	0.401821	ThompsonSamplingSelectionPolicy	RandomAgent	False	False	
